Entity,Scorecard,Squad,Level,Status,Rule,Description,Failure Message,Last Evaluated
cache-data-aggregator,Anyone Can Contribute Safely,Orange,Baseline,Fail,Repositories must have recent commits scanned by SonarQube,"Repositories must have less than 1 week between the most recent commit and most recent SonarQube scan to ensure code quality is continuously monitored, as per [anyone-can-contribute-safely/code-quality-monitoring](https://production-standards.skyscannerpage.com/standards/anyone-can-contribute-safely/code-quality-monitoring/).",Diff in weeks between most recent commit and most recent SonarQube scan: {{context.evaluation.captures.diff}}. [Note: a blank value indicates no scans performed],2026-06-19T13:24:20.389149
cache-rule-generator,Changes Ship Reliably,Orange,Baseline,Fail,Components must be deployed regularly,"Components must be redeployed at least once every four weeks to ensure redeployability for faster disaster recovery, as per [changes-ship-reliably/redeployability](https://production-standards.skyscannerpage.com/standards/changes-ship-reliably/redeployability/).",You have not redeployed your component in the past four weeks. Please ensure that it is redeployed regularly.,2026-06-20T09:02:50.965692
carhire-indic-pricing-project,Customer Data Stays Protected,Aqua,Baseline,Fail,Projects must have no CFRipper selected issues across all stacks,"Projects must not have critical CFRipper issues related to backup tags, security groups, and project tags across any of their CloudFormation stacks, as per [customer-data-stays-protected/cloudformation-scanning](https://production-standards.skyscannerpage.com/standards/customer-data-stays-protected/cloudformation-scanning/).","Please remediate the following CFRipper issues across all CloudFormation stacks in this project, which are considered particularly important by the Security team:
- BackupTagMissingInCriticalDataStoreRule
- CriticalTagMissingInOperationalDataStoreRule
- EC2SecurityGroupOpenToWorldRule
- ProjectTagInSelfServeRule
- ProjectTagPresentRule
- RestoreInCriticalDataStoreNonCompliantRule

You can view the specific findings in the [custom data section](https://skyscanner.atlassian.net/wiki/spaces/SEC/pages/172832635/CFRipper+FAQ#Where-can-I-see-my-stack-issues-in-Cortex%3F).

If you believe an exception is required, please submit a request in #security-support with the [necessary information](https://skyscanner.atlassian.net/wiki/spaces/SEC/pages/172832635/CFRipper+FAQ#How-can-I-get-an-exception-for-my-stack%3F).

More details about CFRipper can be found [here](https://skyscanner.atlassian.net/wiki/spaces/SEC/pages/172832623/CFRipper).",2026-06-20T08:33:05.560896
carhire-indicative-price,Technology Stays Current,Tiger,Baseline,Fail,Repositories must use supported Docker images,"Repositories must use official Skyscanner [Docker images](https://skyscanner.atlassian.net/l/cp/CCfXdwKF) for all supported languages which include performance and security enhancements, as per
[technology-stays-current/container-images](https://production-standards.skyscannerpage.com/standards/technology-stays-current/container-images/).
Using stale or unsupported Docker images exposes Skyscanner travelers to security threats.

Please use official Skyscanner Docker images for all your projects. Review and act upon any open Dependabot pull requests against your repositories. If your project cannot receive dependency bumps by Dependabot, update your Docker images to the most recent version and reach out for support.","{{#context.evaluation.captures.dockerfiles}}

### `{{path}}`

{{#base_images}}
- `{{registry}}/{{name}}` tag=`:{{tag}}` digest=`@{{digest}}` stage=`{{stage}}`
{{/base_images}}

{{/context.evaluation.captures.dockerfiles}}",2026-06-20T09:03:58.329841
carhire-indicative-price,Technology Stays Current,Tiger,Baseline,Fail,Repositories must use Docker base images from ECR,"Repositories must use Docker base images from the internal ECR repository, not from the public internet, as per [technology-stays-current/container-images](https://production-standards.skyscannerpage.com/standards/technology-stays-current/container-images/).","{{#context.evaluation.captures.dockerfiles}}

### `{{path}}`

{{#base_images}}
- `{{registry}}/{{name}}` tag=`:{{tag}}` digest=`@{{digest}}` stage=`{{stage}}`
{{/base_images}}

{{/context.evaluation.captures.dockerfiles}}
",2026-06-20T09:03:58.329841
carhire-indicative-price-batch,Changes Ship Reliably,Tiger,Baseline,Fail,Repositories must have all package.json files appropriately locked,"Repositories must have all package.json files properly locked to ensure reproducible builds, as per [changes-ship-reliably/reproducible-builds](https://production-standards.skyscannerpage.com/standards/changes-ship-reliably/reproducible-builds/).","Your repository contains package.json files that are not properly locked.
Monorepos must have a root-level lockfile (package-lock.json, yarn.lock, or pnpm-lock.yaml).
Non-monorepos must ensure every package.json is locked in the same directory.
",2026-06-20T09:31:25.17646
carhire-indicative-price-dags,Anyone Can Contribute Safely,Tiger,Baseline,Fail,Repositories must have recent commits scanned by SonarQube,"Repositories must have less than 1 week between the most recent commit and most recent SonarQube scan to ensure code quality is continuously monitored, as per [anyone-can-contribute-safely/code-quality-monitoring](https://production-standards.skyscannerpage.com/standards/anyone-can-contribute-safely/code-quality-monitoring/).",Diff in weeks between most recent commit and most recent SonarQube scan: {{context.evaluation.captures.diff}}. [Note: a blank value indicates no scans performed],2026-06-19T13:29:31.760057
carriers,Production Observable and Resilient,Fuel RaTS,Baseline,Fail,Components must not write metrics to Slipstream,"Components must not write metrics to Slipstream, as per [production-observable-and-resilient/common/06-observability-platforms](https://production-standards.skyscannerpage.com/standards/production-observable-and-resilient/common/06-observability-platforms/).","* {{context.evaluation.captures.rule.message}}
* Details: {{context.evaluation.captures.rule.details}}
* [Rule definition](https://github.com/Skyscanner/cortex-enrichment/blob/main/jobs/observability_rules/slipstream_rule.py)
",2026-06-19T07:21:31.01086
carriers,Technology Stays Current,Fuel RaTS,Baseline,Fail,Services must set maxRequestHeaderSize to 32KiB in production Dropwizard config,"Microservices must explicitly set `maxRequestHeaderSize: 32KiB` in
`prod.yml` or equivalent production Dropwizard config, as per
[technology-stays-current/http-request-header-size](https://production-standards.skyscannerpage.com/standards/technology-stays-current/http-request-header-size/).","Set `maxRequestHeaderSize: 32KiB` in every production Dropwizard config
file. If this service is (a) gRPC only and does not serve HTTP traffic, or (b) Not a Java service, please
request an exemption stating this as the reason.

{{^context.evaluation.captures.productionConfigFiles}}
No production Dropwizard config files matching `prod.yml`, `production.yml`, `prod-*.yml`, or `production-*.yml` were found.
{{/context.evaluation.captures.productionConfigFiles}}
{{#context.evaluation.captures.missingHeaderSizeFiles}}
The following production Dropwizard config files are missing `maxRequestHeaderSize: 32KiB`:
- `{{relativePath}}`
{{/context.evaluation.captures.missingHeaderSizeFiles}}",2026-06-20T09:03:53.369575
carriers-project,Customer Data Stays Protected,Fuel RaTS,Baseline,Fail,Projects with CloudFormation stacks must have CFRipper data available,"Projects with CloudFormation stacks must have CFRipper security scanning data available, as per [customer-data-stays-protected/cloudformation-scanning](https://production-standards.skyscannerpage.com/standards/customer-data-stays-protected/cloudformation-scanning/).","Please check the status of your CloudFormation stacks to ensure they are in a healthy state. Stacks in statuses like REVIEW_IN_PROGRESS or DELETE_FAILED may prevent template retrieval for security scanning, block resource updates, or lead to unexpected costs. If you believe your stacks should have been scanned and this does not apply to you, please contact Shield squad in #security-support.

More info about CFRipper can be found [here](https://skyscanner.atlassian.net/wiki/spaces/SEC/pages/172832623/CFRipper).",2026-06-20T08:33:26.372306
