Squad,Entity,Scorecard,Rule,Level,Status,Description,Failure Message,Last Evaluated
Aqua,pam-hotels,Technology Stays Current,Services must set maxRequestHeaderSize to 32KiB in production Dropwizard config,Baseline,Fail,"Microservices must explicitly set `maxRequestHeaderSize: 32KiB` in
`prod.yml` or equivalent production Dropwizard config, as per
[technology-stays-current/http-request-header-size](https://production-standards.skyscannerpage.com/standards/technology-stays-current/http-request-header-size/).","Set `maxRequestHeaderSize: 32KiB` in every production Dropwizard config
file. If this service is (a) gRPC only and does not serve HTTP traffic, or (b) Not a Java service, please
request an exemption stating this as the reason.

{{^context.evaluation.captures.productionConfigFiles}}
No production Dropwizard config files matching `prod.yml`, `production.yml`, `prod-*.yml`, or `production-*.yml` were found.
{{/context.evaluation.captures.productionConfigFiles}}
{{#context.evaluation.captures.missingHeaderSizeFiles}}
The following production Dropwizard config files are missing `maxRequestHeaderSize: 32KiB`:
- `{{relativePath}}`
{{/context.evaluation.captures.missingHeaderSizeFiles}}",2026-06-24T15:56:03.761138
Aqua,prod_trusted_silver.indicative_price.hotel_compacted_quote,"Data, AI, and ML Governed",Datasets with business critical data must have all alerts actioned excluding any alerts that have fired in the last 3 days,Baseline,Fail,"All alerts raised by Monte Carlo for business critical datasets must be actioned within 3 days, i.e. status update rate must be 100%.",Status update rate for alerts raised by Monte Carlo is below 100%. Current status update rate is {{context.evaluation.captures.status_update_rate}},2026-06-24T11:27:57.556289
Aqua,prod_trusted_silver.indicative_price.hotel_compacted_quote,"Data, AI, and ML Governed",Datasets with business critical data must have basic monitors enabled in Monte Carlo,Baseline,Fail,"Business critical datasets must have the following monitors enabled by Monte Carlo:
- schema_changes
- row_count
- time_since_last_row_count_change
- time_since_last_update

See how-to guide: https://skyscanner.atlassian.net/wiki/spaces/UNDERSTAND/pages/1073352149/HOW+TO+Setup+Monte+Carlo+for+achieving+Dataset+Health+Level+3",Basic monitors are not enabled in Monte Carlo.  Matched count `{{context.evaluation.captures.matched_monitors_enabled_count}}`,2026-06-24T11:27:57.556289
Aqua,prod_trusted_silver.indicative_price.hotel_geo_indicative_prices,"Data, AI, and ML Governed",Datasets with business critical data must have all alerts actioned excluding any alerts that have fired in the last 3 days,Baseline,Fail,"All alerts raised by Monte Carlo for business critical datasets must be actioned within 3 days, i.e. status update rate must be 100%.",Status update rate for alerts raised by Monte Carlo is below 100%. Current status update rate is {{context.evaluation.captures.status_update_rate}},2026-06-24T09:57:10.297431
Aqua,prod_trusted_silver.indicative_price.hotel_list_geo_price_details,"Data, AI, and ML Governed",Datasets with business critical data must have all alerts actioned excluding any alerts that have fired in the last 3 days,Baseline,Fail,"All alerts raised by Monte Carlo for business critical datasets must be actioned within 3 days, i.e. status update rate must be 100%.",Status update rate for alerts raised by Monte Carlo is below 100%. Current status update rate is {{context.evaluation.captures.status_update_rate}},2026-06-24T09:57:18.161688
Aqua,prod_trusted_silver.indicative_price.package_indicative_prices,"Data, AI, and ML Governed",Datasets with business critical data must have all alerts actioned excluding any alerts that have fired in the last 3 days,Baseline,Fail,"All alerts raised by Monte Carlo for business critical datasets must be actioned within 3 days, i.e. status update rate must be 100%.",Status update rate for alerts raised by Monte Carlo is below 100%. Current status update rate is {{context.evaluation.captures.status_update_rate}},2026-06-24T09:57:20.071601
Big Yus,bosun-file-cache-alerts,Production Observable and Resilient,Components must not use Bosun for alerting,Baseline,Fail,"Components must not use Bosun for alerting, as per [production-observable-and-resilient/common/06-observability-platforms](https://production-standards.skyscannerpage.com/standards/production-observable-and-resilient/common/06-observability-platforms/).",Bosun is deprecated and should not be used for alerting. Move OpenTSDB based alerts to [newrelic-tf](https://github.com/skyscanner/newrelic-tf). Replace CloudWatch based alarms to [CloudWatch native alarms](https://skyscanner.atlassian.net/wiki/spaces/DEVEX/pages/144670955/CloudWatch+Alarm+to+VictorOps).,2026-06-24T11:40:02.017528
Big Yus,bosun-taps-alerts,Production Observable and Resilient,Components must not use Bosun for alerting,Baseline,Fail,"Components must not use Bosun for alerting, as per [production-observable-and-resilient/common/06-observability-platforms](https://production-standards.skyscannerpage.com/standards/production-observable-and-resilient/common/06-observability-platforms/).",Bosun is deprecated and should not be used for alerting. Move OpenTSDB based alerts to [newrelic-tf](https://github.com/skyscanner/newrelic-tf). Replace CloudWatch based alarms to [CloudWatch native alarms](https://skyscanner.atlassian.net/wiki/spaces/DEVEX/pages/144670955/CloudWatch+Alarm+to+VictorOps).,2026-06-24T10:29:34.284993
Big Yus,constructed-returns,Technology Stays Current,"AI agents, batch jobs and ETL must be written in Python",Baseline,Fail,"AI agents, batch jobs, and ETL pipelines must use Python as the primary programming language, as per [technology-stays-current/batch-job](https://production-standards.skyscannerpage.com/standards/technology-stays-current/batch-job/).",,2026-06-24T15:28:12.339415
Big Yus,fcp-flights-aggregations,Customer Data Stays Protected,Repositories must not have critical-severity code scanning issues,Baseline,Fail,"Repositories must not have critical-severity code scanning issues detected by CodeQL analysis, as these represent the most severe security vulnerabilities that require immediate remediation, as per [customer-data-stays-protected/dependencies-code-vulnerabilities](https://production-standards.skyscannerpage.com/standards/customer-data-stays-protected/dependencies-code-vulnerabilities/).","Please remediate your **critical-severity** code scanning issues in {{context.entity.descriptor.info.x-cortex-git.github.repository}} repository.

You can view the alerts that need remediation here:
https://github.com/{{context.entity.descriptor.info.x-cortex-git.github.repository}}/security/code-scanning?query=is%3Aopen+severity%3Acritical

Detailed steps on how to resolve them can be found [here](https://skyscanner.atlassian.net/wiki/x/pQJ7V).",2026-06-24T14:58:02.716352
Big Yus,fcp-flights-aggregations,Production Observable and Resilient,Components must not rely on OpenTSDB for alerting,Baseline,Fail,"Components must not rely on OpenTSDB for alerting, as per [production-observable-and-resilient/common/06-observability-platforms](https://production-standards.skyscannerpage.com/standards/production-observable-and-resilient/common/06-observability-platforms/).","* {{context.evaluation.captures.rule.message}}
* Details: {{context.evaluation.captures.rule.details}}
* [Rule definition](https://github.com/Skyscanner/cortex-enrichment/blob/main/jobs/observability_rules/opentsdb_rule.py)
",2026-06-24T06:11:02.761333
Big Yus,fcp-flights-aggregations,Production Observable and Resilient,Components must not write metrics to Slipstream,Baseline,Fail,"Components must not write metrics to Slipstream, as per [production-observable-and-resilient/common/06-observability-platforms](https://production-standards.skyscannerpage.com/standards/production-observable-and-resilient/common/06-observability-platforms/).","* {{context.evaluation.captures.rule.message}}
* Details: {{context.evaluation.captures.rule.details}}
* [Rule definition](https://github.com/Skyscanner/cortex-enrichment/blob/main/jobs/observability_rules/slipstream_rule.py)
",2026-06-24T06:11:02.761333
Big Yus,fcp-flights-aggregations,Production Observable and Resilient,Repositories must use only OpenTelemetry API,Baseline,Fail,"Repositories must use only OpenTelemetry API for traces and metrics, as per [production-observable-and-resilient/metrics/01-instrumentation-and-transport](https://production-standards.skyscannerpage.com/standards/production-observable-and-resilient/metrics/01-instrumentation-and-transport/).","For traces and metrics, components must be instrumented exclusively with OpenTelemetry API. Other tools like MShellMetrics, StatsD or Grappler log metric are deprecated.

Repository https://github.com/{{context.entity.descriptor.info.x-cortex-git.github.repository}} contains references to deprecated metrics clients.

Detected the following file counts:
* {{context.evaluation.captures.statsd}} files using skyscanner/mshell-statsd [github link](https://github.com/{{context.entity.descriptor.info.x-cortex-git.github.repository}}/search?q=skyscanner%2Fmshell-statsd+extension%3Ayaml+extension%3Ayml)
* {{context.evaluation.captures.statsd_legacy}} files using data-platform/mshell-statsd [github link](https://github.com/{{context.entity.descriptor.info.x-cortex-git.github.repository}}/search?q=data-platform%2Fmshell-statsd+extension%3Ayaml+extension%3Ayml)
* {{context.evaluation.captures.grappler_log_metric}} files using grappler SDK log_metric() logMetric() calls [github link](https://github.com/{{context.entity.descriptor.info.x-cortex-git.github.repository}}/search?q=""grappler.log.metric""+extension%3Apy+extension%3Ajs+extension%3Ats)
* {{context.evaluation.captures.mshell_metrics_java}} files using MShellMetrics Java [github link](https://github.com/{{context.entity.descriptor.info.x-cortex-git.github.repository}}/search?q=MShellMetrics+extension%3Ajava)
* {{context.evaluation.captures.mshell_metrics_node}} files using mshell-node-metrics [github link](https://github.com/{{context.entity.descriptor.info.x-cortex-git.github.repository}}/search?q=mshell-node-metrics+extension%3Ajs)
* {{context.evaluation.captures.mshell_metrics_python}} files using mshell_metrics Python imports [github link](https://github.com/{{context.entity.descriptor.info.x-cortex-git.github.repository}}//search?q=""from+mshell_metrics""+extension%3Apy)
",2026-06-24T06:11:02.761333
Big Yus,fcp-flights-predictions,Customer Data Stays Protected,Repositories must not have critical-severity code scanning issues,Baseline,Fail,"Repositories must not have critical-severity code scanning issues detected by CodeQL analysis, as these represent the most severe security vulnerabilities that require immediate remediation, as per [customer-data-stays-protected/dependencies-code-vulnerabilities](https://production-standards.skyscannerpage.com/standards/customer-data-stays-protected/dependencies-code-vulnerabilities/).","Please remediate your **critical-severity** code scanning issues in {{context.entity.descriptor.info.x-cortex-git.github.repository}} repository.

You can view the alerts that need remediation here:
https://github.com/{{context.entity.descriptor.info.x-cortex-git.github.repository}}/security/code-scanning?query=is%3Aopen+severity%3Acritical

Detailed steps on how to resolve them can be found [here](https://skyscanner.atlassian.net/wiki/x/pQJ7V).",2026-06-24T14:56:46.01943
Big Yus,fcp-flights-predictions,Production Observable and Resilient,Components must not rely on OpenTSDB for alerting,Baseline,Fail,"Components must not rely on OpenTSDB for alerting, as per [production-observable-and-resilient/common/06-observability-platforms](https://production-standards.skyscannerpage.com/standards/production-observable-and-resilient/common/06-observability-platforms/).","* {{context.evaluation.captures.rule.message}}
* Details: {{context.evaluation.captures.rule.details}}
* [Rule definition](https://github.com/Skyscanner/cortex-enrichment/blob/main/jobs/observability_rules/opentsdb_rule.py)
",2026-06-24T11:59:14.298625
Big Yus,fcp-flights-predictions,Production Observable and Resilient,Components must not write metrics to Slipstream,Baseline,Fail,"Components must not write metrics to Slipstream, as per [production-observable-and-resilient/common/06-observability-platforms](https://production-standards.skyscannerpage.com/standards/production-observable-and-resilient/common/06-observability-platforms/).","* {{context.evaluation.captures.rule.message}}
* Details: {{context.evaluation.captures.rule.details}}
* [Rule definition](https://github.com/Skyscanner/cortex-enrichment/blob/main/jobs/observability_rules/slipstream_rule.py)
",2026-06-24T11:59:14.298625
Big Yus,fcp-flights-predictions,Production Observable and Resilient,Repositories must use only OpenTelemetry API,Baseline,Fail,"Repositories must use only OpenTelemetry API for traces and metrics, as per [production-observable-and-resilient/metrics/01-instrumentation-and-transport](https://production-standards.skyscannerpage.com/standards/production-observable-and-resilient/metrics/01-instrumentation-and-transport/).","For traces and metrics, components must be instrumented exclusively with OpenTelemetry API. Other tools like MShellMetrics, StatsD or Grappler log metric are deprecated.

Repository https://github.com/{{context.entity.descriptor.info.x-cortex-git.github.repository}} contains references to deprecated metrics clients.

Detected the following file counts:
* {{context.evaluation.captures.statsd}} files using skyscanner/mshell-statsd [github link](https://github.com/{{context.entity.descriptor.info.x-cortex-git.github.repository}}/search?q=skyscanner%2Fmshell-statsd+extension%3Ayaml+extension%3Ayml)
* {{context.evaluation.captures.statsd_legacy}} files using data-platform/mshell-statsd [github link](https://github.com/{{context.entity.descriptor.info.x-cortex-git.github.repository}}/search?q=data-platform%2Fmshell-statsd+extension%3Ayaml+extension%3Ayml)
* {{context.evaluation.captures.grappler_log_metric}} files using grappler SDK log_metric() logMetric() calls [github link](https://github.com/{{context.entity.descriptor.info.x-cortex-git.github.repository}}/search?q=""grappler.log.metric""+extension%3Apy+extension%3Ajs+extension%3Ats)
* {{context.evaluation.captures.mshell_metrics_java}} files using MShellMetrics Java [github link](https://github.com/{{context.entity.descriptor.info.x-cortex-git.github.repository}}/search?q=MShellMetrics+extension%3Ajava)
* {{context.evaluation.captures.mshell_metrics_node}} files using mshell-node-metrics [github link](https://github.com/{{context.entity.descriptor.info.x-cortex-git.github.repository}}/search?q=mshell-node-metrics+extension%3Ajs)
* {{context.evaluation.captures.mshell_metrics_python}} files using mshell_metrics Python imports [github link](https://github.com/{{context.entity.descriptor.info.x-cortex-git.github.repository}}//search?q=""from+mshell_metrics""+extension%3Apy)
",2026-06-24T11:59:14.298625
Big Yus,file-cache-clean-lam,Changes Ship Reliably,Components must use the latest major Slingshot CI version,Baseline,Fail,"GitHub Actions workflows must reference the latest major version of slingshot-action (e.g., vMAJOR, not vMAJOR.MINOR.PATCH) to maintain access to current features and security updates, as per [changes-ship-reliably/deployment-tooling-versioning](https://production-standards.skyscannerpage.com/standards/changes-ship-reliably/deployment-tooling-versioning/).",One or more of your workflows are using an outdated major version of the slingshot-action or reference it by its full semantic version instead of major version only.,2026-06-24T13:52:30.849695
Big Yus,file-cache-clean-lam-test,Changes Ship Reliably,Services must be deployed via Slingshot to shared cluster,Baseline,Fail,"Services must be deployed via Slingshot to shared Kubernetes clusters (Cells), not to standalone EC2, self-managed ECS, or external services, as per [changes-ship-reliably/services-deployed-to-shared-cluster](https://production-standards.skyscannerpage.com/standards/changes-ship-reliably/services-deployed-to-shared-cluster/).","Your service is not deployed via Slingshot to a shared Kubernetes cluster (Cells). Services must be deployed via Slingshot to Cells, not to standalone EC2, self-managed ECS, or external infrastructure. See the [services-deployed-to-shared-cluster](https://production-standards.skyscannerpage.com/standards/changes-ship-reliably/services-deployed-to-shared-cluster/) standard.",2026-06-24T13:52:56.425279
Big Yus,file-cache-proxy,Customer Data Stays Protected,Repositories must not have critical-severity code scanning issues,Baseline,Fail,"Repositories must not have critical-severity code scanning issues detected by CodeQL analysis, as these represent the most severe security vulnerabilities that require immediate remediation, as per [customer-data-stays-protected/dependencies-code-vulnerabilities](https://production-standards.skyscannerpage.com/standards/customer-data-stays-protected/dependencies-code-vulnerabilities/).","Please remediate your **critical-severity** code scanning issues in {{context.entity.descriptor.info.x-cortex-git.github.repository}} repository.

You can view the alerts that need remediation here:
https://github.com/{{context.entity.descriptor.info.x-cortex-git.github.repository}}/security/code-scanning?query=is%3Aopen+severity%3Acritical

Detailed steps on how to resolve them can be found [here](https://skyscanner.atlassian.net/wiki/x/pQJ7V).",2026-06-24T14:09:38.725683
Big Yus,file-cache-proxy,Production Observable and Resilient,Components must not rely on OpenTSDB for alerting,Baseline,Fail,"Components must not rely on OpenTSDB for alerting, as per [production-observable-and-resilient/common/06-observability-platforms](https://production-standards.skyscannerpage.com/standards/production-observable-and-resilient/common/06-observability-platforms/).","* {{context.evaluation.captures.rule.message}}
* Details: {{context.evaluation.captures.rule.details}}
* [Rule definition](https://github.com/Skyscanner/cortex-enrichment/blob/main/jobs/observability_rules/opentsdb_rule.py)
",2026-06-24T11:12:45.629569
Big Yus,file-cache-proxy,Production Observable and Resilient,Components must not write metrics to Slipstream,Baseline,Fail,"Components must not write metrics to Slipstream, as per [production-observable-and-resilient/common/06-observability-platforms](https://production-standards.skyscannerpage.com/standards/production-observable-and-resilient/common/06-observability-platforms/).","* {{context.evaluation.captures.rule.message}}
* Details: {{context.evaluation.captures.rule.details}}
* [Rule definition](https://github.com/Skyscanner/cortex-enrichment/blob/main/jobs/observability_rules/slipstream_rule.py)
",2026-06-24T11:12:45.629569
Big Yus,file-cache-proxy,Production Observable and Resilient,Repositories must use only OpenTelemetry API,Baseline,Fail,"Repositories must use only OpenTelemetry API for traces and metrics, as per [production-observable-and-resilient/metrics/01-instrumentation-and-transport](https://production-standards.skyscannerpage.com/standards/production-observable-and-resilient/metrics/01-instrumentation-and-transport/).","For traces and metrics, components must be instrumented exclusively with OpenTelemetry API. Other tools like MShellMetrics, StatsD or Grappler log metric are deprecated.

Repository https://github.com/{{context.entity.descriptor.info.x-cortex-git.github.repository}} contains references to deprecated metrics clients.

Detected the following file counts:
* {{context.evaluation.captures.statsd}} files using skyscanner/mshell-statsd [github link](https://github.com/{{context.entity.descriptor.info.x-cortex-git.github.repository}}/search?q=skyscanner%2Fmshell-statsd+extension%3Ayaml+extension%3Ayml)
* {{context.evaluation.captures.statsd_legacy}} files using data-platform/mshell-statsd [github link](https://github.com/{{context.entity.descriptor.info.x-cortex-git.github.repository}}/search?q=data-platform%2Fmshell-statsd+extension%3Ayaml+extension%3Ayml)
* {{context.evaluation.captures.grappler_log_metric}} files using grappler SDK log_metric() logMetric() calls [github link](https://github.com/{{context.entity.descriptor.info.x-cortex-git.github.repository}}/search?q=""grappler.log.metric""+extension%3Apy+extension%3Ajs+extension%3Ats)
* {{context.evaluation.captures.mshell_metrics_java}} files using MShellMetrics Java [github link](https://github.com/{{context.entity.descriptor.info.x-cortex-git.github.repository}}/search?q=MShellMetrics+extension%3Ajava)
* {{context.evaluation.captures.mshell_metrics_node}} files using mshell-node-metrics [github link](https://github.com/{{context.entity.descriptor.info.x-cortex-git.github.repository}}/search?q=mshell-node-metrics+extension%3Ajs)
* {{context.evaluation.captures.mshell_metrics_python}} files using mshell_metrics Python imports [github link](https://github.com/{{context.entity.descriptor.info.x-cortex-git.github.repository}}//search?q=""from+mshell_metrics""+extension%3Apy)
",2026-06-24T11:12:45.629569
Big Yus,file-cache-proxy-test,Changes Ship Reliably,Components must be deployed regularly,Baseline,Fail,"Components must be redeployed at least once every four weeks to ensure redeployability for faster disaster recovery, as per [changes-ship-reliably/redeployability](https://production-standards.skyscannerpage.com/standards/changes-ship-reliably/redeployability/).",You have not redeployed your component in the past four weeks. Please ensure that it is redeployed regularly.,2026-06-24T13:52:25.814611
Big Yus,file-cache-proxy-test,Customer Data Stays Protected,Repositories must not have critical-severity code scanning issues,Baseline,Fail,"Repositories must not have critical-severity code scanning issues detected by CodeQL analysis, as these represent the most severe security vulnerabilities that require immediate remediation, as per [customer-data-stays-protected/dependencies-code-vulnerabilities](https://production-standards.skyscannerpage.com/standards/customer-data-stays-protected/dependencies-code-vulnerabilities/).","Please remediate your **critical-severity** code scanning issues in {{context.entity.descriptor.info.x-cortex-git.github.repository}} repository.

You can view the alerts that need remediation here:
https://github.com/{{context.entity.descriptor.info.x-cortex-git.github.repository}}/security/code-scanning?query=is%3Aopen+severity%3Acritical

Detailed steps on how to resolve them can be found [here](https://skyscanner.atlassian.net/wiki/x/pQJ7V).",2026-06-24T14:09:40.661526
Big Yus,file-cache-proxy-test,Production Observable and Resilient,Repositories must use only OpenTelemetry API,Baseline,Fail,"Repositories must use only OpenTelemetry API for traces and metrics, as per [production-observable-and-resilient/metrics/01-instrumentation-and-transport](https://production-standards.skyscannerpage.com/standards/production-observable-and-resilient/metrics/01-instrumentation-and-transport/).","For traces and metrics, components must be instrumented exclusively with OpenTelemetry API. Other tools like MShellMetrics, StatsD or Grappler log metric are deprecated.

Repository https://github.com/{{context.entity.descriptor.info.x-cortex-git.github.repository}} contains references to deprecated metrics clients.

Detected the following file counts:
* {{context.evaluation.captures.statsd}} files using skyscanner/mshell-statsd [github link](https://github.com/{{context.entity.descriptor.info.x-cortex-git.github.repository}}/search?q=skyscanner%2Fmshell-statsd+extension%3Ayaml+extension%3Ayml)
* {{context.evaluation.captures.statsd_legacy}} files using data-platform/mshell-statsd [github link](https://github.com/{{context.entity.descriptor.info.x-cortex-git.github.repository}}/search?q=data-platform%2Fmshell-statsd+extension%3Ayaml+extension%3Ayml)
* {{context.evaluation.captures.grappler_log_metric}} files using grappler SDK log_metric() logMetric() calls [github link](https://github.com/{{context.entity.descriptor.info.x-cortex-git.github.repository}}/search?q=""grappler.log.metric""+extension%3Apy+extension%3Ajs+extension%3Ats)
* {{context.evaluation.captures.mshell_metrics_java}} files using MShellMetrics Java [github link](https://github.com/{{context.entity.descriptor.info.x-cortex-git.github.repository}}/search?q=MShellMetrics+extension%3Ajava)
* {{context.evaluation.captures.mshell_metrics_node}} files using mshell-node-metrics [github link](https://github.com/{{context.entity.descriptor.info.x-cortex-git.github.repository}}/search?q=mshell-node-metrics+extension%3Ajs)
* {{context.evaluation.captures.mshell_metrics_python}} files using mshell_metrics Python imports [github link](https://github.com/{{context.entity.descriptor.info.x-cortex-git.github.repository}}//search?q=""from+mshell_metrics""+extension%3Apy)
",2026-06-23T20:53:57.969939
